,Unnamed: 0,agent_id,timeStamp_posix,latitude_deg,longitude_deg,speed_ms,heading_rad,heading_deg,accel_ms2,agent_type
2959,2959,3,1597257931.49089,45.566864773199995,8.0479639105,10.582026,4.92800343652166,282.353798338657,-0.000245,car
2960,2960,3,1597257931.5922198,45.5668662193,8.0479503784,10.572665,4.9292625960511,282.42594286542703,-0.009361,car
2961,2961,3,1597257931.66442,45.5668676949,8.0479368116,10.617451,4.93219187477555,282.59377817335604,0.044786,car
2962,2962,3,1597257931.8217099,45.566869134499996,8.0479232277,10.619289,4.9308025766906205,282.514177256604,0.001837999999999,car
2963,2963,3,1597257932.05159,45.566870637,8.047909781900001,10.526201,4.93987852949723,283.034191047483,-0.093088,car
2964,2964,3,1597257932.07973,45.5668721594,8.0478964097,10.480496,4.9434359398541785,283.238015646932,-0.045705,car
2965,2965,3,1597257932.1285698,45.566873683999994,8.0478831148,10.43117,4.94592787842241,283.380793209697,-0.049326000000000994,car
2966,2966,3,1597257932.21769,45.56687521560001,8.0478698553,10.41349,4.9479115504679685,283.494449245846,-0.01768,car
2967,2967,3,1597257932.3454301,45.566876725,8.0478566292,10.376444,4.94995812084384,283.61170909086,-0.037046,car
2968,2968,3,1597257932.39368,45.566878248,8.0478433818,10.413729,4.9508696913685,283.66393823465097,0.037285000000001,car
2969,2969,3,1597257932.50671,45.5668796111,8.0478302758,10.424864,4.95120235007786,283.682998174716,0.011135,car
2970,2970,3,1597257932.60818,45.5668809911,8.0478171751,10.429674,4.95187958177843,283.721800692911,0.004810000000000999,car
2971,2971,3,1597257932.78104,45.566882360200005,8.0478041277,10.371528,4.9508666359906615,283.663763174396,-0.058146000000001,car
2972,2972,3,1597257932.84245,45.5668837229,8.0477911076,10.34879,4.9500086313303,283.614603128555,-0.022738,car
2973,2973,3,1597257932.9121,45.566885086400006,8.0477780791,10.342587,4.94876131784983,283.543137330395,-0.006202999999999,car
2974,2974,3,1597257933.03531,45.5668864196,8.0477650197,10.358419,4.94392740379438,283.266174456488,0.015832,car
2975,2975,3,1597257933.11421,45.5668877228,8.047751952899999,10.348794,4.937797230363401,282.91494139121005,-0.009625,car
2976,2976,3,1597257933.2162,45.566888984799995,8.0477388915,10.327659,4.933599510434839,282.674429755725,-0.021134999999999,car
2977,2977,3,1597257933.35921,45.5668902204,8.047725846599999,10.309624,4.93021626417437,282.480584023947,-0.018035000000001,car
2978,2978,3,1597257933.4169,45.5668914316,8.0477127437,10.349364,4.925608103359808,282.21655585795503,0.03974,car
2979,2979,3,1597257933.5121,45.5668868313,8.0476909293,10.350585,4.9201489251427,281.903767986505,0.001221000000001,car
2980,2980,3,1597257933.6405199,45.5668884044,8.0476782058,10.283494,4.92172324670946,281.993969967877,-0.067091000000001,car
2981,2981,3,1597257933.71195,45.5668899258,8.0476653779,10.210843,4.924036360487411,282.126501624887,-0.07265099999999901,car
2982,2982,3,1597257933.85532,45.5668914754,8.0476524977,10.194386,4.92117348178809,281.962470758158,-0.016457000000001002,car
2983,2983,3,1597257933.93283,45.566892905299994,8.047639565599999,10.181574,4.91612173749485,281.673027130976,-0.012812,car
2984,2984,3,1597257934.02106,45.566894195399996,8.047626568,10.17235,4.90918688081741,281.27568911183,-0.009224,car
2985,2985,3,1597257934.11387,45.566895407299995,8.047613522999999,10.197669,4.8972068291084,280.589282710556,0.025319,car
2986,2986,3,1597257934.23335,45.566896571099996,8.0476004089,10.24175,4.88757022912272,280.03714620252003,0.044081,car
2987,2987,3,1597257934.42415,45.5668976756,8.0475872864,10.249667,4.88060119679894,279.637850063078,0.007917000000001,car
2988,2988,3,1597257934.53486,45.56689875399999,8.047574171399999,10.254537,4.87211887316226,279.151848718232,0.004869999999999001,car
2989,2989,3,1597257934.56861,45.5668997165,8.0475610047,10.233181,4.8677055436805,278.898983565326,-0.021355999999999,car
2990,2990,3,1597257934.64009,45.566900699899996,8.0475478635,10.254157,4.8590993261857305,278.405883625304,0.020975999999999,car
2991,2991,3,1597257934.7228198,45.5669017479,8.0475347513,10.288879,4.8511384088604,277.949756661511,0.034722,car
2992,2992,3,1597257934.83226,45.5669028067,8.047521595900001,10.354169,4.84518941654189,277.608904509304,0.065290000000001,car
2993,2993,3,1597257934.95965,45.5669039009,8.0475084861,10.362166,4.84440482577786,277.56395076987997,0.007997,car
2994,2994,3,1597257935.02465,45.566904983,8.0474954232,10.340094,4.84449315404459,277.56901160677603,-0.022072,car
2995,2995,3,1597257935.1143699,45.5669061097,8.0474823751,10.348885,4.8457450742451,277.640741350552,0.008790999999999,car
2996,2996,3,1597257935.22935,45.566907218800004,8.0474693133,10.33517,4.84748528049235,277.740447824002,-0.013715,car
2997,2997,3,1597257935.31995,45.566908311700004,8.0474562453,10.319181,4.8475980882174685,277.74691123054697,-0.015988999999999,car
2998,2998,3,1597257935.39944,45.5669094239,8.0474431991,10.286484,4.84803053124146,277.771688390702,-0.032697000000001,car
2999,2999,3,1597257935.5412,45.5669104662,8.0474300991,10.276035,4.84777644499018,277.757130320871,-0.010449,car
3000,3000,3,1597257935.61501,45.5669115144,8.0474171395,10.254871,4.8470734612974695,277.716852322212,-0.021164000000001,car
3001,3001,3,1597257935.71703,45.5669125968,8.0474041643,10.27838,4.8487273261788495,277.81161179980097,0.023509000000001,car
3002,3002,3,1597257935.8239698,45.566913720200006,8.047391285,10.206561,4.85147327827704,277.968943265772,-0.07181900000000001,car
3003,3003,3,1597257935.9729302,45.5669148823,8.0473785727,10.086621,4.85654336749784,278.259437979879,-0.119940000000001,car
3004,3004,3,1597257936.02444,45.566916043999996,8.0473659723,9.986339,4.8598232024218,278.447358678521,-0.100282,car
3005,3005,3,1597257936.11543,45.5669172096,8.047353389500001,9.964374,4.861368250482871,278.535883411565,-0.021965,car
3006,3006,3,1597257936.21156,45.566918395500004,8.0473408509,9.943662,4.86239281230611,278.594586479887,-0.020712,car
3007,3007,3,1597257936.35078,45.566919616199996,8.04732841,9.889039,4.86506906145158,278.747924260848,-0.054622999999999006,car
3008,3008,3,1597257936.44084,45.5669208625,8.0473160882,9.807395,4.86923999729868,278.986901281507,-0.081644000000001,car
3009,3009,3,1597257936.54564,45.566922082,8.047303898400001,9.705471,4.875911532801299,279.36915210867903,-0.101924,car
3010,3010,3,1597257936.61585,45.5669232896,8.0472918082,9.61274,4.87687067199044,279.424106736182,-0.092730999999999,car
3011,3011,3,1597257936.71944,45.5669244912,8.0472797991,9.537444,4.8779685882377,279.487012703409,-0.075296,car
3012,3012,3,1597257936.79809,45.566925713900005,8.04726786,9.495223,4.88010011215236,279.60914002764997,-0.042221000000000994,car
3013,3013,3,1597257936.90541,45.5669269311,8.047255956699999,9.480267,4.88026022589985,279.61831386962297,-0.014956,car
3014,3014,3,1597257937.0058599,45.566928231700004,8.0472441616,9.411771,4.88494389465487,279.88666832192297,-0.068496,car
3015,3015,3,1597257937.09936,45.5669295671,8.0472325237,9.287823,4.89164541357888,280.270637072596,-0.123948,car
3016,3016,3,1597257937.1874099,45.5669309541,8.047220982699999,9.214402,4.90557036460273,281.068477996189,-0.073421,car
3017,3017,3,1597257937.38819,45.5669323763,8.0472095547,9.136101,4.912381936990871,281.458752345877,-0.078301,car
3018,3018,3,1597257937.51835,45.56693385810001,8.0471982244,9.070901,4.920594929908678,281.929322177238,-0.065200000000001,car
3019,3019,3,1597257937.65286,45.566935273599995,8.0471869844,8.964236,4.925734000517871,282.223769233765,-0.106665,car
3020,3020,3,1597257937.7108,45.5669367103,8.0471758313,8.911906,4.9245951745340895,282.15851931129396,-0.05233,car
3021,3021,3,1597257937.72422,45.5669381608,8.0471647746,8.841642,4.92260548809928,282.044518676026,-0.070264,car
